name,id
Ada Itúrrez de Cappellini,f9740ad0-a7fc-418c-a162-f0b452a90c33
Ada Rosa Del Valle Itúrrez de Cappellini,f9740ad0-a7fc-418c-a162-f0b452a90c33
Adolfo Rodriguez Saa,3451928b-b649-4421-a579-81d53e85d404
Adolfo Rodríguez Saá,3451928b-b649-4421-a579-81d53e85d404
Alfredo de Angeli,e96844a8-13a8-4433-b2f5-d37fce64325c
Alfredo Héctor Luenzo,5c377688-0307-45af-b65f-6d78dbe49d75
Alfredo Luis De Angeli,e96844a8-13a8-4433-b2f5-d37fce64325c
Ana Claudia Almirón,f003f504-1b4e-411a-80dd-fa08f8ebd306
Ana María Ianni,0f1aaf4e-a1af-433c-b428-9e318bd17055
Anabel Fernández Sagasti,c7e0cdd0-c848-4555-a055-d4045aec4716
Beatriz Graciela Mirkin,85ac0058-497a-4b81-b698-a404a7810492
Blanca Porcel de Riccobelli,0c1c04f8-1c49-4d8c-99bb-84c839fe58c1
Carlos Alberto Caserio,18e3f210-0650-4eb2-8176-56fd7ca38297
Carlos Alberto Reutemann,6b28028b-152f-4782-92f4-bdf26b68cdd9
Carlos Espínola,fc2381a4-1ab0-4eb3-969e-8822901a6797
Carlos Mauricio Espínola,fc2381a4-1ab0-4eb3-969e-8822901a6797
Carlos Menem,a4b09594-4555-44f3-b63e-f0900f903e2a
Carlos Reutemann,6b28028b-152f-4782-92f4-bdf26b68cdd9
Carlos Saúl Menem,a4b09594-4555-44f3-b63e-f0900f903e2a
Carmen Lucila Crexell,5314ce21-bdc2-43b4-bc6b-9497397410fb
Carolus Menem,a4b09594-4555-44f3-b63e-f0900f903e2a
Claudio Javier Poggi,46c42343-c44b-4ad8-b74f-201ca1219cfd
Cristina del Carmen López Valverde,109729f9-500e-43f6-8287-8333d8695061
Cristina E. Fernández de Kirchner,90748c32-d7ba-4e1f-9922-e192d4ee3fdb
Cristina Fiore,56e4cd5e-94f2-4568-8e74-6edb33344326
Dalmacio Mera,7569bf33-3a40-4990-b081-d001f1bf5c51
Daniel Aníbal Lovera,9238f0f0-e203-482a-9754-92d512607fb5
Eduardo Aguilar,b657902d-8f2f-4943-a6ed-d6a7119a66ef
Eduardo Alberto Aguilar,b657902d-8f2f-4943-a6ed-d6a7119a66ef
Eduardo Raúl Costa,f99569be-a13a-4dbb-926b-92a064e2a6d8
Ernesto Félix Martínez,9dfc4306-da49-4491-831e-cb4a2defe1b6
Esteban Jose Bullrich,6aa9cac3-1461-44cd-8c13-b003744e4b99
Federico Pinedo,d987dedb-6465-4f26-9248-ee95c6f2b815
"Fernando ""Pino"" Solanas",8fc3e7f4-4697-40ae-b69a-3d387300974d
Fernando Ezequiel Solanas,8fc3e7f4-4697-40ae-b69a-3d387300974d
Fernando Solanas,8fc3e7f4-4697-40ae-b69a-3d387300974d
Gerardo Antenor Montenegro,22643c2a-98e2-46e7-a852-a28e73326373
Gladys Esther González,8689ab8c-1729-426d-8d46-6111c3fda26f
Guillermo Eugenio Mario Snopek,5a295bcc-4651-4818-837e-2f28bc12a97c
Guillermo Juan Pereyra,f91fe30e-f02b-4d64-b209-1d737bed25ac
Humberto Luis Arturo Schiavoni,096797bb-68e1-470f-8fb6-30351aac3d3c
Inés Blas,0e0edf7d-f095-4366-91c2-55c59bc86e77
Inés Imelda Blas,0e0edf7d-f095-4366-91c2-55c59bc86e77
José Alperovich,7e58ae91-c1e4-4ce4-8a09-8f5f891d1936
José Anatolio Ojeda,f7d25720-f6c0-4f4d-9243-5248d3a22503
José Jorge Alperovich,7e58ae91-c1e4-4ce4-8a09-8f5f891d1936
José Mayans,86fbd268-3876-42cb-abc3-c8ab16513515
José Miguel Ángel Mayans,86fbd268-3876-42cb-abc3-c8ab16513515
José Rubén Uñac,19a9555a-2dae-4e2e-be8e-b05788a245ce
Juan Carlos Marino,39da3525-2b84-4c30-b3c6-9f686b9b7ccd
Juan Carlos Romero,3bc5537c-30c0-4072-bddc-590fccec5aa7
Juan Mario Pais,77bfd598-e4a9-48ef-b69d-d48f8bb741cb
Julio Cobos,7f722811-b125-4638-85a1-e28e81a2a723
Julio César Catalán Magni,5255dda1-4ee9-4911-a1e8-90b290752635
Julio César Cleto Cobos,7f722811-b125-4638-85a1-e28e81a2a723
Julio César Martínez,e23a8f8a-cfc1-4cd4-9988-fefe0d3cc0dc
Karloss Menems,a4b09594-4555-44f3-b63e-f0900f903e2a
Laura Elena Rodríguez Machado,f45ea298-5a7f-4e38-9f58-097d494b40e7
Laura Rodríguez Machado,f45ea298-5a7f-4e38-9f58-097d494b40e7
Luis Carlos Petcoff Naidenoff,1252bd09-4838-4df4-8ca2-3c0ab06ff205
Luis Petcoff Naidenoff,1252bd09-4838-4df4-8ca2-3c0ab06ff205
Magdalena Odarda,bd1be571-566d-403b-8370-ff5d8b99169f
Magdalena Solari Quintana,0dbccdfa-9e61-47a2-b745-98b06a620631
Marcelo Fuentes,239aee0f-e3fc-493d-9c51-e9735c02bdeb
Marcelo Jorge Fuentes,239aee0f-e3fc-493d-9c51-e9735c02bdeb
Maria Cristina del Valle Fiore Viñuales,56e4cd5e-94f2-4568-8e74-6edb33344326
Mario Raymundo Fiad,1a8b163f-7e7d-4d3c-a4b9-1101a9c2d5fa
Marta Varela,c4b4c18f-0b61-4b0b-8951-8905dc7299df
María Belén Tapia,3493a406-99b2-42eb-9326-f67771ee1980
María Cristina del Valle Fiore Viñuales,56e4cd5e-94f2-4568-8e74-6edb33344326
María de los Ángeles Sacnun,1ddf933a-b7cb-4ab9-afd6-49c22a4a86de
María de los Ángeles Sacnún,1ddf933a-b7cb-4ab9-afd6-49c22a4a86de
María Eugenia Catalfamo,7bbd2147-d875-4a7a-afe0-5c3a0bfffe43
María Graciela de la Rosa,f4e826fd-6e3f-4dbe-9c13-9ab26a65b306
María Inés Pilatti Vergara,fac042de-4931-40f9-b51a-6c8aeb7248a1
María Magdalena Odarda,bd1be571-566d-403b-8370-ff5d8b99169f
María Teresa Margarita González,d580737c-c26c-4ae7-b513-a8a43f303aad
Maurice Fabián Closs,61ba4013-64e3-4280-84c7-37fdf6783a70
Miguel Ángel Pichetto,ac555c21-fdb2-4508-9015-2e1b0bca92c3
